OID,Name,NCI Codelist Code,Data Type,Rank,Order,Term,NCI Term Code,Decoded Value,Comment,IsNonStandard,StandardOID
CL.ADADAS.AVISIT,Analysis Visit (ADADAS),,text,,,Baseline,,,,Yes,
CL.ADADAS.AVISIT,Analysis Visit (ADADAS),,text,,8,Week 8,,,,Yes,
CL.ADADAS.AVISIT,Analysis Visit (ADADAS),,text,,16,Week 16,,,,Yes,
CL.ADADAS.AVISIT,Analysis Visit (ADADAS),,text,,24,Week 24,,,,Yes,
CL.ADADAS.AVISITN,Analysis Visit (N) (ADADAS),,integer,,,0,,Baseline,,Yes,
CL.ADADAS.AVISITN,Analysis Visit (N) (ADADAS),,integer,,,8,,Week 8,,Yes,
CL.ADADAS.AVISITN,Analysis Visit (N) (ADADAS),,integer,,,16,,Week 16,,Yes,
CL.ADADAS.AVISITN,Analysis Visit (N) (ADADAS),,integer,,,24,,Week 24,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,3,BASELINE,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,4,WEEK 2,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,5,WEEK 4,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,6,AMBUL ECG REMOVAL,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,7,WEEK 6,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,8,WEEK 8,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,9,WEEK 12,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,10,WEEK 16,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,11,WEEK 20,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,12,WEEK 24,,,,Yes,
CL.ADADAS.VISIT,Visit (ADADAS),,text,,201,RETRIEVAL,,,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,3,,BASELINE,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,4,,WEEK 2,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,5,,WEEK 4,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,6,,AMBUL ECG REMOVAL,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,7,,WEEK 6,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,8,,WEEK 8,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,9,,WEEK 12,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,10,,WEEK 16,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,11,,WEEK 20,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,12,,WEEK 24,,Yes,
CL.ADADAS.VISITNUM,Visit (N) (ADADAS),,integer,,,201,,RETRIEVAL,,Yes,
CL.ADCIBC.AVISIT,Analysis Visit (ADCIBC),,text,,8,Week 8,,,,Yes,
CL.ADCIBC.AVISIT,Analysis Visit (ADCIBC),,text,,16,Week 16,,,,Yes,
CL.ADCIBC.AVISIT,Analysis Visit (ADCIBC),,text,,24,Week 24,,,,Yes,
