OID,Description,Document,Pages
COM.ADADAS,See ADRG Section 5.2.2 ADADAS - ADAS-Cog Analysis for more details.,LF.Suppdoc,
COM.ADADAS.PARAMN,Assign a numeric code for each value of PARAMCD (see codelist PARAMN_ADADAS),,
COM.ADAE,See ADRG Section 5.2.3 ADAE - Adverse Event Analysis Dataset for more details.,LF.Suppdoc,
COM.ADCIBC,See ADRG Section 5.2.4 ADCIBC - CIBIC+ Analysis for more details.,LF.Suppdoc,
COM.ADCIBC.PARAM,"Set to ""CIBIC Score""",,
COM.ADCIBC.PARAMCD,"Set to ""CIBICVAL""",,
COM.ADCIBC.PARAMN,Assign a numeric code for each value of PARAMCD (see codelist PARAMN_ADCIBC),,
COM.ADLBC,See ADRG Section 5.2.5 ADLBC - Analysis Dataset Lab Blood Chemistry for more details.,LF.Suppdoc,
COM.ADLBC.PARCAT1,Set to 'CHEM',,
COM.ADLBCPV.PARCAT1,Set to 'CHEM',,
COM.ADLBH,See ADRG Section 5.2.5 ADLBH - Analysis Dataset Lab Hematalogy for more details.,LF.Suppdoc,
COM.ADLBH.PARCAT1,Set to 'HEM',,
COM.ADLBHPV.PARAMN,Assign a numeric code for each value of PARAMCD (see codelist PARAMN_ADLBHPV),,
COM.ADLBHPV.PARCAT1,Set to 'HEM',,
COM.ADLBHY,See ADRG Section 5.2.5 ADLBHY - Analysis Dataset Lab Hy's Law for more details.,LF.Suppdoc,
COM.ADLBHY.CRIT1,Set to 'R2A1HI > 1.5',,
COM.ADLBHY.CRIT1FN,Numeric code for CRIT1FL,,
COM.ADLBHY.PARAMCD,Set to appropriate value as needed for HY's Law calculations,,
COM.ADLBHY.PARCAT1,"Set to ""HYLAW""",,
COM.ADNPIX,See ADRG Section 5.2.5 ADNPIX - NPI-X Item Analysis Dataset for more details.,LF.Suppdoc,
COM.ADNPIX.PARAMN,Assign a numeric code for each value of PARAMCD (see codelist PARAMN_ADNPIX),,
COM.ADSL,See ADRG Section 5.2.1 ADSL - Subject Level Analysis Dataset for more details.,LF.Suppdoc,
COM.ADTTE.PARAM,"Set to ""Time to First Dermatologic Event""",,
COM.ADTTE.PARAMCD,"Set to"" TTDE""",,
COM.ADVS.ATPTN,Numeric code for ATPT,,
COM.AVISITN,Numeric code for AVISIT,,
COM.DTYPE,"Set to ""AVERAGE""",,
COM.PARAMN,Numeric code for Parameter,,
COM.PARAMTYP,"Set to ""DERIVED""",,
COM.SHIFT1N,Numeric code for SHIFT1,,
COM.VLM,See parameter level metadata,,
