OID,Name,Type,Description,Expression Context,Expression Code,Document,Pages
MT.ABLFL,Algorithm to derive ABLFL,Computation,"Y if VISITNUM=1, null otherwise",,,,
MT.ADADAS.ADT,Algorithm to derive ADADAS.ADT,Computation,SAS date from QS.QSDTC,,,,
MT.ADADAS.ANL01FL,Algorithm to derive ADADAS.ANL01FL,Computation,"If multiple visits fall into the same visit window, then the one closest to the target date is chosen for analysis. These are flagged with ANL01FL=""Y"".",,,,
MT.ADADAS.AVAL.ACTOT,Algorithm to derive ADADAS.AVAL.ACTOT,Computation,"Sum of ADAS scores for items 1, 2, 4, 5, 6, 7, 8, 11, 12, 13, and 14, see SAP section 14.2 for details on adjusting for missing values.",,,,
MT.ADADAS.AVISIT,Algorithm to derive ADADAS.AVISIT,Computation,"Derived based on windowing algorithm described in SAP, Section 8.2",,,,
MT.ADADAS.AWHI,Algorithm to derive ADADAS.AWHI,Computation,"End day of the window, specified in the SAP.",,,,
MT.ADADAS.AWLO,Algorithm to derive ADADAS.AWLO,Computation,"Start day of the window, specified in the SAP.",,,,
MT.ADADAS.AWRANGE,Algorithm to derive ADADAS.AWRANGE,Computation,"Window range, specified in the SAP.",,,,
MT.ADADAS.AWTARGET,Algorithm to derive ADADAS.AWTARGET,Computation,"Target day within the window, specified in the SAP.",,,,
MT.ADADAS.AWTDIFF,Algorithm to derive ADADAS.AWTDIFF,Computation,Absolute difference between AWTARGET and ADY,,,,
MT.ADADAS.AWU,Algorithm to derive ADADAS.AWU,Computation,"Assigned as ""DAYS"".",,,,
MT.ADADAS.BASE,Algorithm to derive ADADAS.BASE,Computation,QS.QSSTRESN when QS.QSBLFL=Y (QS.VISITNUM=3),,,,
MT.ADAE.ADURN,Algorithm to derive ADAE.ADURN,Computation,ADURN=AENDT-ASTDT+1,,,,
MT.ADAE.ADURU,Algorithm to derive ADAE.ADURU,Computation,If ADURN is not missing then ADURU='DAY',,,,
MT.ADAE.AENDT,Algorithm to derive ADAE.AENDT,Computation,"AE.AEENDTC, converted to a numeric SAS date",,,,
MT.ADAE.AENDY,Algorithm to derive ADAE.AENDY,Computation,IF AENDT>=TRTSDT>MISSING then AENDY=AENDT-TRTSDT+1 Else if TRTSDT>AENDT>MISSING then AENDY=AENDT-TRTSDT,,,,
MT.ADAE.AOCC01FL,Algorithm to derive ADAE.AOCC01FL,Computation,"Subset to CQ01NAM='' and TRTEMFL='Y' and sort by Subject (USUBJID), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC01FL=?Y?) within each Subject (Flag First Treatment Emergent Dermatological Event for Time to Event Analysis)",,,,
MT.ADAE.AOCC02FL,Algorithm to derive ADAE.AOCC02FL,Computation,"Subset to TRTEMFL='Y' and AESER='Y' and sort by Subject (USUBJID), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC02FL=?Y?) within each Subject",,,,
MT.ADAE.AOCC03FL,Algorithm to derive ADAE.AOCC03FL,Computation,"Subset to TRTEMFL='Y' and AESER='Y' and sort by Subject (USUBJID), System Organ Class (AEBODSYS), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC03FL=?Y?) within each Subject and SOC",,,,
MT.ADAE.AOCC04FL,Algorithm to derive ADAE.AOCC04FL,Computation,"Subset to TRTEMFL='Y' and AESER='Y' and sort by Subject (USUBJID), System Organ Class (AEBODSYS), Preferred Term (AEDECOD), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCC04FL=?Y?) within each Subject, SOC, and PT",,,,
MT.ADAE.AOCCFL,Algorithm to derive ADAE.AOCCFL,Computation,"Subset to TRTEMFL='Y' and sort by Subject (USUBJID), Start Date (ASTDT), and Sequence Number (AESEQ) and flag the first record (set AOCCFL=?Y?) within each Subject",,,,
