OID,Order,Dataset,Variable,Label,Data Type,Length,Significant Digits,Format,KeySequence,Mandatory,CodeList,Valuelist,Origin Type,Origin Source,Pages,Method,Predecessor,Role,Comment,IsNonStandard,HasNoData
IT.ADSL.STUDYID,1,ADSL,STUDYID,Study Identifier,text,12,,,,No,,,Predecessor,,,,DM.STUDYID,,,,
IT.ADSL.USUBJID,2,ADSL,USUBJID,Unique Subject Identifier,text,11,,,1,No,,,Predecessor,,,,DM.USUBJID,,,,
IT.ADSL.SUBJID,3,ADSL,SUBJID,Subject Identifier for the Study,text,4,,,,No,,,Predecessor,,,,DM.SUBJID,,,,
IT.ADSL.SITEID,4,ADSL,SITEID,Study Site Identifier,text,3,,,,No,,,Predecessor,,,,DM.SITEID,,,,
IT.ADSL.SITEGR1,5,ADSL,SITEGR1,Pooled Site Group 1,text,3,,,,No,,,Derived,Sponsor,,MT.ADSL.SITEGR1,,,,,
IT.ADSL.ARM,6,ADSL,ARM,Description of Planned Arm,text,20,,,,No,CL.ARM,,Predecessor,,,,DM.ARM,,,,
IT.ADSL.TRT01P,7,ADSL,TRT01P,Planned Treatment for Period 01,text,20,,,,No,CL.ARM,,Predecessor,,,,DM.ARM,,,,
IT.ADSL.TRT01PN,8,ADSL,TRT01PN,Planned Treatment for Period 01 (N),integer,8,,,,No,CL.ARMN,,Derived,Sponsor,,MT.ADSL.TRT01PN,,,,,
IT.ADSL.TRT01A,9,ADSL,TRT01A,Actual Treatment for Period 01,text,20,,,,No,CL.ARM,,Derived,Sponsor,,MT.ADSL.TRT01A,,,,,
IT.ADSL.TRT01AN,10,ADSL,TRT01AN,Actual Treatment for Period 01 (N),integer,8,,,,No,CL.ARMN,,Derived,Sponsor,,MT.ADSL.TRT01AN,,,,,
IT.ADSL.TRTSDT,11,ADSL,TRTSDT,Date of First Exposure to Treatment,integer,8,,DATE9.,,No,,,Derived,Sponsor,,MT.ADSL.TRTSDT,,,,,
