OID,Dataset,Variable,Comparator,Value,Comment
WC.DA.DATESTCD.DISPAMT,DA,DATESTCD,EQ,DISPAMT,
WC.DA.DATESTCD.RETAMT,DA,DATESTCD,EQ,RETAMT,
WC.EG.EGTESTCD.INTP,EG,EGTESTCD,EQ,INTP,
WC.EG.EGTESTCD.PRMEAN,EG,EGTESTCD,EQ,PRMEAN,
WC.EG.EGTESTCD.QRSDUR,EG,EGTESTCD,EQ,QRSDUR,
WC.EG.EGTESTCD.QTMEAN,EG,EGTESTCD,EQ,QTMEAN,
WC.EG.EGTESTCD.VRMEAN,EG,EGTESTCD,EQ,VRMEAN,
WC.EG.EGTESTCD.QTCB,EG,EGTESTCD,EQ,QTCB,
WC.EG.EGTESTCD.QTCF,EG,EGTESTCD,EQ,QTCF,
WC.IE.IETESTCD.EXCL01,IE,IETESTCD,EQ,EXCL01,
WC.IE.IETESTCD.EXCL02,IE,IETESTCD,EQ,EXCL02,
WC.IE.IETESTCD.EXCL03,IE,IETESTCD,EQ,EXCL03,
WC.IE.IETESTCD.INCL01,IE,IETESTCD,EQ,INCL01,
WC.IE.IETESTCD.INCL02,IE,IETESTCD,EQ,INCL02,
WC.IE.IETESTCD.INCL03,IE,IETESTCD,EQ,INCL03,
WC.LB.LBTESTCD.BILI.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBTESTCD,EQ,BILI,
WC.LB.LBTESTCD.BILI.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBCAT,EQ,CHEMISTRY,
WC.LB.LBTESTCD.BILI.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBSPEC,EQ,BLOOD,
WC.LB.LBTESTCD.BUN.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBTESTCD,EQ,BUN,
WC.LB.LBTESTCD.BUN.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBCAT,EQ,CHEMISTRY,
WC.LB.LBTESTCD.BUN.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBSPEC,EQ,BLOOD,
WC.LB.LBTESTCD.GLUC.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBTESTCD,EQ,GLUC,
WC.LB.LBTESTCD.GLUC.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBCAT,EQ,CHEMISTRY,
WC.LB.LBTESTCD.GLUC.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBSPEC,EQ,BLOOD,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.DIPSTICK,LB,LBTESTCD,EQ,GLUC,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.DIPSTICK,LB,LBCAT,EQ,URINALYSIS,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.DIPSTICK,LB,LBSPEC,EQ,URINE,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.DIPSTICK,LB,LBMETHOD,EQ,DIPSTICK,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.QUANT,LB,LBTESTCD,EQ,GLUC,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.QUANT,LB,LBCAT,EQ,URINALYSIS,
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.QUANT,LB,LBSPEC,EQ,URINE,
