OID,Name,NCI Codelist Code,Data Type,Order,Term,NCI Term Code,Decoded Value,Comment,IsNonStandard,StandardOID,Term Date Published,Term Status,Term Ext Code ID,Term Submission Value,Term Synonym,Term Definition,Term Preferred Term,CL Extensible,CL Date Published,CL Status,CL Ext Code ID,CL Submission Value,CL Synonym,CL Definition,CL Preferred Term
CL_NY_GSKC66742VD1,No Yes Response,C66742,text,1,N,,,,,STD.CT.SDTM.20240329,2024-09-29,Draft,C49487,N,No,The non-affirmative response to a question. (NCI),No,No,2025-04-02,Draft,C66742,No Yes Response,No Yes Response,"A term that is used to indicate a question with permissible values of
                        yes/no/unknown/not applicable.
                    ",CDISC SDTM Yes No Unknown or Not Applicable Response Terminology
CL_NY_GSKC66742VD1,No Yes Response,C66742,text,4,Y,,,,,STD.CT.SDTM.20240329,2024-09-29,Draft,C49488,Y,Yes,The affirmative response to a question. (NCI),Yes,No,2025-04-02,Draft,C66742,No Yes Response,No Yes Response,"A term that is used to indicate a question with permissible values of
                        yes/no/unknown/not applicable.
                    ",CDISC SDTM Yes No Unknown or Not Applicable Response Terminology
CL_SEX_GSKC66731VD1,Sex,C66731,text,4,UNDIFFERENTIATED,,,,,STD.CT.SDTM.20240329,2024-09-29,Draft,C45908,UNDIFFERENTIATED,,"A person (one of unisexual specimens) who is born with genitalia and/or
                            secondary sexual characteristics of indeterminate sex, or which combine features of both
                            sexes. (NCI)
                        ",Intersex,No,2025-04-02,Draft,C66731,Sex,Sex,"The assemblage of physical properties or qualities by which male is distinguished
                        from female; the physical difference between male and female; the distinguishing peculiarity of
                        male or female. (NCI)
                    ",NULL
CL_SEX_GSKC66731VD1,Sex,C66731,text,1,F,,,,,STD.CT.SDTM.20240329,2024-09-29,Draft,C16576,F,Female,"A person who belongs to the sex that normally produces ova. The term is used to
                            indicate biological sex distinctions, or cultural gender role distinctions, or both. (NCI)
                        ",Female,No,2025-04-02,Draft,C66731,Sex,Sex,"The assemblage of physical properties or qualities by which male is distinguished
                        from female; the physical difference between male and female; the distinguishing peculiarity of
                        male or female. (NCI)
                    ",NULL
CL_SEX_GSKC66731VD1,Sex,C66731,text,3,U,,,,,STD.CT.SDTM.20240329,2024-09-29,Draft,C17998,U,U; UNK; Unknown,"Not known, not observed, not recorded, or refused. (NCI)",Unknown,No,2025-04-02,Draft,C66731,Sex,Sex,"The assemblage of physical properties or qualities by which male is distinguished
                        from female; the physical difference between male and female; the distinguishing peculiarity of
                        male or female. (NCI)
                    ",NULL
CL_SEX_GSKC66731VD1,Sex,C66731,text,2,M,,,,,STD.CT.SDTM.20240329,2024-09-29,Draft,C20197,M,Male,"A person who belongs to the sex that normally produces sperm. The term is used
                            to indicate biological sex distinctions, cultural gender role distinctions, or both. (NCI)
                        ",Male,No,2025-04-02,Draft,C66731,Sex,Sex,"The assemblage of physical properties or qualities by which male is distinguished
                        from female; the physical difference between male and female; the distinguishing peculiarity of
                        male or female. (NCI)
                    ",NULL
CL_ARACE_S404005VD1,Analysis Race,S404005,text,,AMERICAN INDIAN OR ALASKA NATIVE,,,,,STD.CT.SDTM.20240329,2024-09-29,Draft,C41259,AMERICAN INDIAN OR ALASKA NATIVE,,"A person having origins in any of the original peoples of North and South
                            America (including Central America), and who maintains tribal affiliation or community
                            attachment. (FDA)
                        ",American Indian or Alaska Native,No,2025-04-27,Draft,S404005,,,,
CL_ARACE_S404005VD1,Analysis Race,S404005,text,,ASIAN - CENTRAL/SOUTH ASIAN HERITAGE,,,,,STD.CT.SDTM.20240329,2025-04-27,Draft,S303008,ASIAN - CENTRAL/SOUTH ASIAN HERITAGE,,,,No,2025-04-27,Draft,S404005,,,,
CL_ARACE_S404005VD1,Analysis Race,S404005,text,,ASIAN - CHINESE HERITAGE,,,,,STD.CT.SDTM.20240329,2025-04-27,Draft,S303009,ASIAN - CHINESE HERITAGE,,,,No,2025-04-27,Draft,S404005,,,,
CL_ARACE_S404005VD1,Analysis Race,S404005,text,,ASIAN - JAPANESE HERITAGE,,,,,STD.CT.SDTM.20240329,2025-04-27,Draft,S3030011,ASIAN - JAPANESE HERITAGE,,,,No,2025-04-27,Draft,S404005,,,,
