OID,Name,Type,Description,Expression Context,Expression Code,Document,Pages,Rule
MT_TRTP_GSKADaMG_OCCDSMDE1,TRTP,Computation,Refer to the referenced rules for a description,,,,,RULE_TRTP_GSKCOREDRVR1
MT_TRTA_GSKADaMG_OCCDSMDE1,TRTA,Computation,Refer to the referenced rules for a description,,,,,RULE_TRTA_GSKCOREDRVR1
MT_TPERIOD_GSKADaMG_OCCDSMDE1,TPERIOD,Computation,Refer to the referenced rules for a description,,,,,RULE_TPERIOD_GSKCOREDRVR1
MT_APERIOD_GSKADaMG_OCCDSMDE1,APERIOD,Computation,Refer to the referenced rules for a description,,,,,RULE_APERIOD_GSKCOREDRVR1
MT_TPERSTDY_GSKADaMG_OCCDSMDE1,TPERSTDY,Computation,Refer to the referenced rules for a description,,,,,RULE_TPERSTDY_GSKCOREDRVR1
MT_TPERENDY_GSKADaMG_OCCDSMDE1,TPERENDY,Computation,Refer to the referenced rules for a description,,,,,RULE_TPERENDY_GSKCOREDRVR1
MT_ASTDT_GSKADaMG_OCCDSMDE1,ASTDT,Computation,Refer to the referenced rules for a description,,,,,RULE_ASTDT_GSKCOREDRVR1
MT_ASTTM_GSKADaMG_OCCDSMDE1,ASTTM,Computation,Refer to the referenced rules for a description,,,,,RULE_ASTTM_GSKCOREDRVR1
MT_ASTDTM_GSKADaMG_OCCDSMDE1,ASTDTM,Computation,Refer to the referenced rules for a description,,,,,RULE_ASTDTM_GSKCOREDRVR1
MT_ASTDY_GSKADaMG_OCCDSMDE1,ASTDY,Computation,Refer to the referenced rules for a description,,,,,RULE_ASTDY_GSKCOREDRVR1
MT_AENDT_GSKADaMG_OCCDSMDE1,AENDT,Computation,Refer to the referenced rules for a description,,,,,RULE_AENDT_GSKCOREDRVR1
MT_AENTM_GSKADaMG_OCCDSMDE1,AENTM,Computation,Refer to the referenced rules for a description,,,,,RULE_AENTM_GSKCOREDRVR1
MT_AENDTM_GSKADaMG_OCCDSMDE1,AENDTM,Computation,Refer to the referenced rules for a description,,,,,RULE_AENDTM_GSKCOREDRVR1
MT_AENDY_GSKADaMG_OCCDSMDE1,AENDY,Computation,Refer to the referenced rules for a description,,,,,RULE_AENDY_GSKCOREDRVR1
MT_TRTP_GSKADaMG_BDSMDE1,TRTP,Computation,Refer to the referenced rules for a description,,,,,RULE_TRTP_GSKCOREDRVR1
MT_TRTA_GSKADaMG_BDSMDE1,TRTA,Computation,Refer to the referenced rules for a description,,,,,RULE_TRTA_GSKCOREDRVR1
MT_APHASE_GSKADaMG_BDSMDE1,APHASE,Computation,Refer to the referenced rules for a description,,,,,RULE_APHASE_GSKCOREDRVR1
MT_CHGCA1CD_GSKADaMG_BDSMDE1,CHGCA1CD,Computation,Refer to the referenced rules for a description,,,,,RULE_CHGCA1CD_GSKCOREDRVR1
MT_APERIOD_GSKADaMG_BDSMDE1,APERIOD,Computation,Refer to the referenced rules for a description,,,,,RULE_APERIOD_GSKCOREDRVR1
MT_APERADY_GSKADaMG_BDSMDE1,APERADY,Computation,Refer to the referenced rules for a description,,,,,RULE_APERADY_GSKCOREDRVR1
MT_ADT_GSKADaMG_BDSMDE1,ADT,Computation,Refer to the referenced rules for a description,,,,,RULE_ADT_GSKCOREDRVR1
MT_ATM_GSKADaMG_BDSMDE1,ATM,Computation,Refer to the referenced rules for a description,,,,,RULE_ATM_GSKCOREDRVR1
MT_ADTM_GSKADaMG_BDSMDE1,ADTM,Computation,Refer to the referenced rules for a description,,,,,RULE_ADTM_GSKCOREDRVR1
MT_ADY_GSKADaMG_BDSMDE1,ADY,Computation,Refer to the referenced rules for a description,,,,,RULE_ADY_GSKCOREDRVR1
MT_ASTDT_GSKADaMG_BDSMDE1,ASTDT,Computation,Refer to the referenced rules for a description,,,,,RULE_ASTDT_GSKCOREDRVR1
