OID,Name,Method
RULE_TRTP_GSKCOREDRVR1,TRTP,"Study Specific Derivation. Planned treatment attributed to a record for analysis
                            purposes. If populated, TRTP must match at least one value of the character planned
                            treatment variables in ADSL (e.g., TRTxxP, TRTSEQP, TRxxPGy).
                        "
RULE_TRTA_GSKCOREDRVR1,TRTA,"Study Specific Derivation. Actual treatment attributed to a record for analysis
                            purposes. If populated, TRTA must match at least one value of the character planned
                            treatment variables in ADSL (e.g., TRTxxA, TRTSEQA, TRxxAGy).
                        "
RULE_TPERIOD_GSKCOREDRVR1,TPERIOD,"Latest value of APERIOD from ADTRT where ADTRT.TRSDT/ADTRT.TRSDTM is on or
                            before ADT/ADTM/ASTDT/ASTDTM
                        "
RULE_APERIOD_GSKCOREDRVR1,APERIOD,"Compare ADT/ASTDT to the series of ADSL.APxxSDT and ADSL.APxxEDT dates to
                            determine which set of dates it falls between. Set this variable to the corresponding value
                            of xx from ADSL.TRTxxP variable.
                        "
RULE_TPERSTDY_GSKCOREDRVR1,TPERSTDY,"Contains the number of days from the first exposure date in the period that the
                            spontaneous event occurred (if the exposure date is prior to the spontaneous event date), or
                            the first exposure date of the previous period (if the exposure date in this period is after
                            the spontaneous event date) to ASTDT. If value >=0 then add 1.
                        "
RULE_TPERENDY_GSKCOREDRVR1,TPERENDY,"Contains the number of days from the first exposure date in the period that the
                            spontaneous event occurred (if the exposure date is prior to the spontaneous event date), or
                            the first exposure date of the previous period (if the exposure date in this period is after
                            the spontaneous event date) to AENDT. If value >=0 then add 1.
                        "
RULE_ASTDT_GSKCOREDRVR1,ASTDT,Numeric date part of XX.XXSTDTC
RULE_ASTTM_GSKCOREDRVR1,ASTTM,Numeric Time part of XX.XXSTDTC
RULE_ASTDTM_GSKCOREDRVR1,ASTDTM,Numeric Date/time part of XX.XXSTDTC
RULE_ASTDY_GSKCOREDRVR1,ASTDY,ASTDT - ADSL.TRTSDT. If value >=0 then add 1.
RULE_AENDT_GSKCOREDRVR1,AENDT,Numeric date part of XX.XXENDTC
RULE_AENTM_GSKCOREDRVR1,AENTM,Numeric Time part of XX.XXENDTC
RULE_AENDTM_GSKCOREDRVR1,AENDTM,Numeric Date/time part of XX.XXENDTC
RULE_AENDY_GSKCOREDRVR1,AENDY,AENDT - ADSL.TRTSDT. If value >=0 then add 1.
RULE_APHASE_GSKCOREDRVR1,APHASE,Study Specific Definition
RULE_CHGCA1CD_GSKCOREDRVR1,CHGCA1CD,"[Study specific] See SAP for high and low ranges. If CHG<LOW RANGE VALUE then
                            set to 'L'. If CHG> HIGH RANGE VALUE then set to 'H'. If LOW RANGE VALUE<=CHG<=
                            HIGH RANGE VALUE then set to 'I'. If CHG is missing and ""DURING TREATMENT"" (defined per SAP)
                            then set to 'U'. If ABLFL='Y' then set to 'P'. If ABLFL = 'Y' and ""PRE TREATMENT"" (Defined
                            per SAP) then set to 'R'. When high/low ranges are not provided then set to 'N'. If
                            Upper/Lower Increases/Decreases are defined compare CHG to these values to determine if they
                            meet this criteria and set CHGCA1CD values per controlled term
                        "
RULE_APERADY_GSKCOREDRVR1,APERADY,"Contains the number of days from the first exposure date in the period that the
                            planned event occurred to date in the period that the planned event occurred to ADT. If
                            value >=0 then add 1.
                        "
RULE_ADT_GSKCOREDRVR1,ADT,Numeric Date part of XX.XXDTC
RULE_ATM_GSKCOREDRVR1,ATM,Numeric Time part of XX.XXDTC
RULE_ADTM_GSKCOREDRVR1,ADTM,Numeric Datetime part of XX.XXDTC
RULE_ADY_GSKCOREDRVR1,ADY,"If ADT>=ADSL.TRTSDT then ADT-ADSL.TRTSDT+1, else ADT-ADSL.TRTSDTStudy
                            Specific Definition. Reference date not necessarily TRTSDT
                        "
RULE_CHG_GSKCOREDRVR1,CHG,"Set to blank if AVAL or BASE are missing; If AVAL and BASE are not missing and
                            ABLFL ne 'Y' then set to AVAL - BASE; Computed for post baseline observations only.
                        "
RULE_PCHG_GSKCOREDRVR1,PCHG,((AVAL - BASE) / BASE) * 100
