OID,Order,Dataset,Variable,Label,Data Type,Length,Significant Digits,Format,KeySequence,Mandatory,CodeList,Valuelist,Origin Type,Origin Source,Pages,Method,Predecessor,Role,Comment,IsNonStandard,HasNoData,Core,DatePublished,Status,SubmissionDataType
IG_G_OCCDS_GSKADaMMDES1.IT_STUDYID_GSKADaMG_OCCDSMDE1,10,G_OCCDS,STUDYID,Study Identifier,text,9,,,2,Yes,,,,,,,,,,,,Required,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_USUBJID_GSKADaMG_OCCDSMDE1,20,G_OCCDS,USUBJID,Unique Subject Identifier,text,30,,,1,Yes,,,,,,,,,,,,Required,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_SUBJID_GSKADaMG_OCCDSMDE1,25,G_OCCDS,SUBJID,Subject Identifier for the Study,text,20,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_SITEID_GSKADaMG_OCCDSMDE1,30,G_OCCDS,SITEID,Study Site Identifier,text,10,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_TRTP_GSKADaMG_OCCDSMDE1,120,G_OCCDS,TRTP,Planned Treatment,text,100,,,,No,,,,,,MT_TRTP_GSKADaMG_OCCDSMDE1,,,,,,,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_TRTA_GSKADaMG_OCCDSMDE1,140,G_OCCDS,TRTA,Actual Treatment,text,100,,,,No,,,,,,MT_TRTA_GSKADaMG_OCCDSMDE1,,,,,,,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_TRTSEQP_GSKADaMG_OCCDSMDE1,160,G_OCCDS,TRTSEQP,Planned Sequence of Treatments,text,200,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_TRTSEQA_GSKADaMG_OCCDSMDE1,180,G_OCCDS,TRTSEQA,Actual Sequence of Treatments,text,200,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_TPERIODC_GSKADaMG_OCCDSMDE1,230,G_OCCDS,TPERIODC,Treatment Period (C),text,100,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_TRT01A_GSKADaMG_OCCDSMDE1,160,G_OCCDS,TRT01A,Actual Treatment for Period 01,text,100,,,,Yes,,,,,,,,,,,,Required,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_TRT01P_GSKADaMG_OCCDSMDE1,180,G_OCCDS,TRT01P,Planned Treatment for Period 01,text,100,,,,Yes,,,,,,,,,,,,Required,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_APERIODC_GSKADaMG_OCCDSMDE1,210,G_OCCDS,APERIODC,Period (C),text,100,,,,No,,,,,,,,,,,,,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_APHASE_GSKADaMG_OCCDSMDE1,240,G_OCCDS,APHASE,Phase,text,100,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_xxTERM_GSKADaMG_OCCDSMDE1,410,G_OCCDS,xxTERM,Reported Term,text,200,,,3,Yes,,,,,,,,,,,,Required,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_xxSEQ_GSKADaMG_OCCDSMDE1,420,G_OCCDS,xxSEQ,Sequence Integer,text,100,,,5,Yes,,,,,,,,,,,,Required,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_xxDECOD_GSKADaMG_OCCDSMDE1,430,G_OCCDS,xxDECOD,Dictonary-Derived Term,text,200,,,,No,,,,,,,,,,,,,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_ADURU_GSKADaMG_OCCDSMDE1,450,G_OCCDS,ADURU,Analysis Duration Units,text,40,,,,No,,,,,,,,,,,,,2025-09-17,Approved,Char
IG_G_OCCDS_GSKADaMMDES1.IT_WEIGHTBL_GSKADaMG_OCCDSMDE1,35,G_OCCDS,WEIGHTBL,Weight (kg) at Baseline,integer,8,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Num
IG_G_OCCDS_GSKADaMMDES1.IT_AGE_GSKADaMG_OCCDSMDE1,40,G_OCCDS,AGE,Age,integer,8,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Num
IG_G_OCCDS_GSKADaMMDES1.IT_TRTPN_GSKADaMG_OCCDSMDE1,130,G_OCCDS,TRTPN,Planned Treatment (N),integer,8,,,,No,,,,,,,,,,,,,2025-09-17,Approved,Num
IG_G_OCCDS_GSKADaMMDES1.IT_TRTAN_GSKADaMG_OCCDSMDE1,150,G_OCCDS,TRTAN,Actual Treatment (N),integer,8,,,,No,,,,,,,,,,,,,2025-09-17,Approved,Num
IG_G_OCCDS_GSKADaMMDES1.IT_TRTSEQPN_GSKADaMG_OCCDSMDE1,170,G_OCCDS,TRTSEQPN,Planned Sequence of Treatments (N),integer,8,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Num
IG_G_OCCDS_GSKADaMMDES1.IT_TRTSEQAN_GSKADaMG_OCCDSMDE1,190,G_OCCDS,TRTSEQAN,Actual Sequence of Treatments (N),integer,8,,,,No,,,,,,,,,,,,Permissible,2025-09-17,Approved,Num
